Augmentation,Red_Mean,Green_Mean,Blue_Mean,Red_STD,Green_STD,Blue_STD
Belyse_neutral_Rotated,0.031724006,0.031781152,0.030876448,0.053850133,0.053816438,0.054340553
Belyse_neutral_Flipped,0.04976527,0.049352914,0.047445692,0.037810948,0.038347617,0.040683616
Belyse_neutral_Bright,0.008974337,0.011532636,0.010258555,0.061852336,0.06142677,0.06165235
Belyse_neutral_Blurred,0.04937437,0.048894566,0.046559304,0.03831999,0.038930345,0.0416951
Belyse_neutral_Grayscale,0.048939727,0.048939727,0.048939727,0.03887355,0.03887355,0.03887355
Belyse_smiling_Rotated,0.030985214,0.031220954,0.031097367,0.054278597,0.054143343,0.054214425
Belyse_smiling_Flipped,0.045930784,0.047956444,0.04761663,0.04238647,0.040080287,0.040483408
Belyse_smiling_Bright,0.009906904,0.011651497,0.0081543755,0.061709836,0.061404333,0.061965764
Belyse_smiling_Blurred,0.045749094,0.047546912,0.047274776,0.04258251,0.040565275,0.040882096
Belyse_smiling_Grayscale,0.047001265,0.047001265,0.047001265,0.041196246,0.041196246,0.041196246
Belyse_surprised_Rotated,0.03138701,0.032339312,0.031922884,0.054047246,0.053482875,0.053732477
Belyse_surprised_Flipped,0.05083576,0.055296995,0.052728027,0.03635898,0.029128889,0.033556
Belyse_surprised_Bright,0.0075903498,0.0093364455,0.011652767,0.06203738,0.061798714,0.061404098
Belyse_surprised_Blurred,0.05050847,0.05516832,0.052374177,0.036812294,0.029371863,0.03410565
Belyse_surprised_Grayscale,0.054769453,0.054769453,0.054769453,0.030109078,0.030109078,0.030109078
